B	N	time
1000	15	100.090000
1000	20	134.340000
1000	23	147.410000
1000	25	163.340000
1000	27	187.190000
1000	100	663.820000
1000	200	1354.840000
1000	300	2048.010000
1000	400	2860.030000
1000	500	3467.810000
2500	15	254.660000
2500	20	308.510000
2500	23	365.390000
2500	25	391.370000
2500	27	447.320000
2500	100	1594.590000
2500	200	3155.930000
2500	300	4786.140000
2500	400	6500.620000
2500	500	8928.400000
5000	15	496.840000
5000	20	625.820000
5000	23	727.540000
5000	25	813.190000
5000	27	918.310000
5000	100	3258.270000
5000	200	6631.880000
5000	300	13574.550000
5000	400	17289.000000
5000	500	22676.030000
