B	N	time
1000	15	3.690000
1000	20	3.570000
1000	23	4.690000
1000	25	5.630000
1000	27	7.180000
1000	100	93.070000
1000	200	309.330000
1000	300	630.980000
1000	400	1121.210000
1000	500	1725.510000
2500	15	4.720000
2500	20	3.820000
2500	23	4.850000
2500	25	5.520000
2500	27	7.520000
2500	100	97.110000
2500	200	378.000000
2500	300	752.290000
2500	400	1269.110000
2500	500	1772.270000
5000	15	4.680000
5000	20	4.390000
5000	23	5.510000
5000	25	6.210000
5000	27	8.550000
5000	100	90.320000
5000	200	377.930000
5000	300	858.080000
5000	400	1334.320000
5000	500	1684.310000
